edge,count,interval
C0B0,1637,0
D2D3,214,0
B1C1,801,0
C2C3,587,0
B1B0,622,0
B0C0,236,0
D1C1,945,0
D0D1,181,0
A2B2,968,0
A2A3,1206,0
C2C1,1347,0
A1A2,1643,0
D3C3,236,0
C1D1,581,0
B3A3,245,0
B3C3,1670,0
C1B1,1314,0
B1B2,1218,0
B2A2,556,0
B0B1,900,0
B2C2,1340,0
B0A0,1278,0
B1A1,986,0
A2A1,275,0
B2B1,767,0
B2B3,940,0
D1D0,1312,0
C3C2,1060,0
B3B2,594,0
C1C0,963,0
C1C2,804,0
C0D0,167,0
C3D3,1269,0
C2D2,936,0
A1B1,592,0
C2B2,736,0
A3B3,1274,0
A3A2,192,0
A0B0,207,0
D0C0,1173,0
D2D1,1601,0
A0A1,1044,0
D3D2,1160,0
D2C2,519,0
C0C1,585,0
C3B3,317,0
D1D2,273,0
A1A0,196,0
B2A2,533,1
A2A3,1319,1
C2C3,624,1
B0A0,1431,1
B3C3,1725,1
A0A1,1062,1
D0C0,1154,1
D2D1,1687,1
C0B0,1686,1
B1B0,677,1
C1C2,814,1
B2B1,799,1
C0C1,579,1
A1A0,222,1
D1D0,1372,1
C3C2,1031,1
C3D3,1318,1
C1C0,1061,1
A1A2,1731,1
D3D2,1075,1
C2C1,1382,1
B0B1,927,1
D3C3,220,1
D2D3,211,1
D0D1,188,1
B3B2,599,1
B1B2,1279,1
A3B3,1240,1
B2B3,978,1
C0D0,193,1
A3A2,207,1
B0C0,267,1
A2A1,304,1
C1D1,567,1
D1D2,294,1
A0B0,221,1
C3B3,295,1
D2C2,461,1
A2B2,962,1
B1C1,835,1
C1B1,1319,1
D1C1,935,1
B2C2,1368,1
A1B1,591,1
B3A3,237,1
B1A1,991,1
C2D2,1056,1
C2B2,725,1
B2C2,1308,2
B0A0,1334,2
D2C2,493,2
C2D2,1019,2
D1D0,1286,2
C1D1,588,2
A2A3,1332,2
B0B1,896,2
A0A1,1052,2
D2D1,1698,2
A3B3,1186,2
D0C0,1061,2
C1C2,796,2
C2C1,1366,2
C0C1,564,2
C3C2,1028,2
B2B1,809,2
D3C3,195,2
C3D3,1358,2
D1D2,306,2
C0B0,1694,2
D3D2,1070,2
B3C3,1732,2
B2A2,555,2
A1A0,201,2
D2D3,234,2
B1B0,650,2
A1A2,1688,2
C2C3,594,2
B2B3,980,2
B1B2,1265,2
A3A2,189,2
A2A1,264,2
B0C0,273,2
C0D0,182,2
C3B3,301,2
B3A3,229,2
A0B0,217,2
B3B2,600,2
C1B1,1354,2
D1C1,985,2
D0D1,217,2
B1C1,838,2
A1B1,613,2
C1C0,1068,2
B1A1,982,2
A2B2,971,2
C2B2,724,2
B0A0,1388,3
C2D2,1011,3
C2C3,561,3
D1C1,938,3
A2A3,1293,3
B1C1,768,3
A0A1,1051,3
D0C0,1153,3
B3C3,1676,3
A3B3,1073,3
C2C1,1299,3
B2C2,1308,3
C1C2,822,3
C0C1,579,3
D2D3,217,3
D0D1,201,3
C3D3,1259,3
C2B2,816,3
B1B0,668,3
A3A2,204,3
D1D2,286,3
B1B2,1283,3
D3D2,1079,3
C3C2,972,3
D2D1,1685,3
C1D1,578,3
A1A0,211,3
C0B0,1723,3
C1C0,1000,3
A1A2,1707,3
B0B1,912,3
D1D0,1389,3
B0C0,268,3
A1B1,564,3
A0B0,213,3
C0D0,176,3
B3B2,540,3
B2B1,788,3
A2A1,287,3
D3C3,228,3
C3B3,333,3
B3A3,255,3
B2A2,599,3
D2C2,514,3
C1B1,1322,3
A2B2,982,3
B2B3,1010,3
B1A1,958,3
